1	1	0	-65.36	5	0.27
2	2	1	-63.43	5	457.34
3	3	1	-63.43	5	-482.23
4	4	2	-470.43	5	0.3
5	5	2	400	5	0.3
6	6	3	-63.43	5	459.34
7	7	3	-63.43	5	455.34
8	8	3	-63.43	5	-480.23
9	9	3	-63.43	5	-484.23
10	10	4	-472.43	5	0.3
11	11	4	-468.43	5	0.3
12	12	4	402	5	0.3
13	13	4	398	5	0.3
14	14	5	-245.68	5	-403.96
15	15	5	-245.68	5	-427.41
16	16	5	-250.68	5	-403.96
17	17	5	-250.68	5	-427.41
18	18	5	-255.68	5	-403.96
19	19	5	-255.68	5	-427.41
20	20	5	-260.68	5	-403.96
21	21	5	-260.68	5	-427.41
22	22	5	115.77	5	-406.71
23	23	5	115.77	5	-428.98
24	24	5	120.77	5	-406.71
25	25	5	120.77	5	-428.98
26	26	5	125.77	5	-406.71
27	27	5	125.77	5	-428.98
28	28	5	130.77	5	-406.71
29	29	5	130.77	5	-428.98
30	30	5	-245.68	5	396.62
31	31	5	-245.68	5	372.85
32	32	5	-250.68	5	396.62
33	33	5	-250.68	5	372.85
34	34	5	-255.68	5	396.62
35	35	5	-255.68	5	372.85
36	36	5	-260.68	5	396.62
37	37	5	-260.68	5	372.85
38	38	5	115.77	5	396.62
39	39	5	115.77	5	372.85
40	40	5	120.77	5	396.62
41	41	5	120.77	5	372.85
42	42	5	125.77	5	396.62
43	43	5	125.77	5	372.85
44	44	5	130.77	5	396.62
45	45	5	130.77	5	372.85
46	46	5	340.41	5	202.76
47	47	5	363	5	202.76
48	48	5	340.41	5	181.76
49	49	5	363	5	181.76
50	50	5	340.41	5	186.76
51	51	5	363	5	186.76
52	52	5	340.41	5	196.76
53	53	5	363	5	196.76
54	54	5	340.41	5	-183.61
55	55	5	363	5	-183.61
56	56	5	340.41	5	-189.61
57	57	5	363	5	-189.61
58	58	5	340.41	5	-195.98
59	59	5	363	5	-195.98
60	60	5	340.41	5	-202.98
61	61	5	363	5	-202.98
62	62	5	-446	5	-175
63	63	5	-426	5	-175
64	64	5	-446	5	-204
65	65	5	-426	5	-204
66	66	5	-446	5	-182
67	67	5	-426	5	-182
68	68	5	-446	5	-195
69	69	5	-426	5	-195
70	70	5	-446	5	175
71	71	5	-426	5	175
72	72	5	-446	5	204
73	73	5	-426	5	204
74	74	5	-446	5	182
75	75	5	-426	5	182
76	76	5	-446	5	195
